,Correlations-AllKids,Correlations-Older,Correlations-Younger,Labels-AllKids,Labels-Older,Labels-Younger
0,0.0980411336115,0.195617789471,-0.055975296523,shoe,shoe,shoe
1,0.260849182819,0.217590344342,0.0448596420273,boat,cup,boat
2,0.317209889177,0.278705706233,0.0693935805046,bird,bird,frog
3,0.342854725298,0.374891296724,0.208123154836,cup,boat,couch
4,0.397597895643,0.410974904523,0.272994150931,couch,couch,bird
5,0.486277256472,0.418846663541,0.308741878629,train,train,carrot
6,0.48771805611,0.474007331599,0.349682483438,frog,foot,foot
7,0.550594022858,0.544457497167,0.423443317064,foot,ice cream,car
8,0.565373835918,0.573779705162,0.444731561109,car,car,banana
9,0.651538003974,0.597499816198,0.448650218435,banana,frog,flower
10,0.652156324633,0.624958127158,0.473743609525,ice cream,phone,train
11,0.6698420137,0.654234807369,0.480419272932,phone,carrot,cup
12,0.671561167024,0.679450474612,0.53908125686,carrot,banana,rabbit
13,0.685017901546,0.691436162915,0.599579735948,rabbit,rabbit,phone
14,0.739089580704,0.734501132313,0.604378820347,flower,chair,ice cream
15,0.780621834226,0.744236702701,0.658630707541,chair,flower,chair
