,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename,condition,CB,subID,image_name
0,CDM_photodraw_e21540576831945,0,this square,age4,1540576899875.0,2018-10-26T18:01:39.874Z,1,0.0,6.371,5.94,0.0,"(0, 0, 0, 0)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/this square/S_this square_sketch_age4_CDM_photodraw_e21540576831945.png,S,2,102618_1,images/square.png
1,CDM_photodraw_e21540576907849,0,this square,age4,1540576944796.0,2018-10-26T18:02:24.795Z,1,0.0,6.371,9.976,0.02277981505102041,"(57, 165, 60, 162)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/this square/S_this square_sketch_age4_CDM_photodraw_e21540576907849.png,S,2,102618_1,images/square.png
2,CDM_photodraw_e21540576907849,1,this shape,age4,1540576963804.0,2018-10-26T18:02:43.804Z,2,1.808,2.021,14.43,0.034677933673469385,"(10, 216, 36, 151)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/this shape/S_this shape_sketch_age4_CDM_photodraw_e21540576907849.png,S,2,102618_1,images/shape.png
3,CDM_photodraw_e21540576907849,2,rectangle,age4,1540576978092.0,2018-10-26T18:02:58.092Z,1,0.0,5.619,8.279,0.04185267857142857,"(0, 222, 0, 208)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/rectangle/P_rectangle_sketch_age4_CDM_photodraw_e21540576907849.png,P,2,102618_1,images_photocues/rectangle.png
4,CDM_photodraw_e21540576907849,3,watch,age4,1540576993035.0,2018-10-26T18:03:13.035Z,2,1.443,3.241,8.936,0.03441884566326531,"(21, 172, 36, 198)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/watch/P_watch_sketch_age4_CDM_photodraw_e21540576907849.png,P,2,102618_1,images_photocues/watch_1.png
5,CDM_photodraw_e21540576907849,4,bike,age4,1540577014060.0,2018-10-26T18:03:34.060Z,4,4.702,5.478,15.018,0.04388552295918367,"(52, 198, 24, 198)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/bike/P_bike_sketch_age4_CDM_photodraw_e21540576907849.png,P,2,102618_1,images_photocues/bike_1.png
6,CDM_photodraw_e21540576907849,5,chair,age4,1540577037833.0,2018-10-26T18:03:57.833Z,9,13.128,13.727,17.765,0.060227997448979595,"(31, 217, 0, 205)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/chair/P_chair_sketch_age4_CDM_photodraw_e21540576907849.png,P,2,102618_1,images_photocues/chair_3.png
7,CDM_photodraw_e21540576907849,6,car,age4,1540577064696.0,2018-10-26T18:04:24.696Z,8,15.627,15.959,20.856,0.04886798469387755,"(19, 181, 24, 213)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/car/P_car_sketch_age4_CDM_photodraw_e21540576907849.png,P,2,102618_1,images_photocues/car_3.png
8,CDM_photodraw_e21540576907849,7,tree,age4,1540577086103.0,2018-10-26T18:04:46.103Z,17,9.451,10.878,15.399,0.06531010841836735,"(36, 189, 19, 187)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/tree/P_tree_sketch_age4_CDM_photodraw_e21540576907849.png,P,2,102618_1,images_photocues/tree_1.png
9,CDM_photodraw_e21540576907849,8,rabbit,age4,1540577110292.0,2018-10-26T18:05:10.292Z,8,10.302,10.627,18.181,0.06333705357142858,"(27, 217, 7, 205)",/Users/brialong/Documents/GitHub/kiddraw/analysis/photodraw2/1_get_sketches/photodraw2_all_sketches/rabbit/P_rabbit_sketch_age4_CDM_photodraw_e21540576907849.png,P,2,102618_1,images_photocues/rabbit_1.png
